TimeAllocationMutator,mutationRange,ReRoute,ModeChoice,coordDistance,probaForRandomSingleTripMode,maxAgentPlanMemorySize,fractionOfIterationsToDisableInnovation,brainExpBeta
0.0,14400.0,1.0,1.0,60.0,0.4,4.0,1.0,200.0
0.0,14400.0,1.0,1.0,60.0,0.4,4.0,0.4,200.0
0.0,14400.0,1.0,1.0,60.0,0.4,4.0,0.4,800.0
0.0,14400.0,1.0,1.0,0.0,0.4,4.0,0.4,800.0
0.0,14400.0,1.0,0.4,0.0,0.4,4.0,0.4,800.0
0.0,14400.0,0.4,0.4,0.0,0.4,4.0,0.4,800.0
1.0,450.0,0.4,0.4,0.0,0.8,12.0,0.4,0.0
0.4,450.0,0.4,0.4,0.0,0.8,12.0,0.4,0.0
0.4,450.0,0.4,0.4,0.0,0.2,12.0,0.4,0.0
0.4,8820.0,0.4,0.4,0.0,0.2,12.0,0.4,0.0
0.4,8820.0,0.4,1.0,0.0,0.2,12.0,0.4,0.0
0.4,8820.0,0.4,1.0,60.0,0.2,12.0,0.4,0.0
0.4,8820.0,0.4,1.0,60.0,0.2,0.0,0.4,0.0
0.4,8820.0,0.4,1.0,60.0,0.2,0.0,0.4,600.0
0.4,8820.0,0.4,1.0,60.0,0.2,0.0,1.0,600.0
0.4,8820.0,1.0,1.0,60.0,0.2,0.0,1.0,600.0
0.6,11610.0,1.0,0.8,20.0,0.2,4.0,0.0,400.0
0.6,11610.0,1.0,0.8,20.0,0.2,4.0,0.0,1000.0
0.6,11610.0,1.0,0.8,20.0,0.2,16.0,0.0,1000.0
0.6,3240.0,1.0,0.8,20.0,0.2,16.0,0.0,1000.0
0.0,3240.0,1.0,0.8,20.0,0.2,16.0,0.0,1000.0
0.0,3240.0,1.0,0.8,20.0,0.8,16.0,0.0,1000.0
0.0,3240.0,0.4,0.8,20.0,0.8,16.0,0.0,1000.0
0.0,3240.0,0.4,0.2,20.0,0.8,16.0,0.0,1000.0
0.0,3240.0,0.4,0.2,80.0,0.8,16.0,0.0,1000.0
0.0,3240.0,0.4,0.2,80.0,0.8,16.0,0.6,1000.0
0.4,3240.0,0.2,0.2,80.0,0.0,8.0,0.2,400.0
1.0,3240.0,0.2,0.2,80.0,0.0,8.0,0.2,400.0
1.0,3240.0,0.8,0.2,80.0,0.0,8.0,0.2,400.0
1.0,3240.0,0.8,0.2,80.0,0.0,8.0,0.2,1000.0
1.0,3240.0,0.8,0.2,80.0,0.0,20.0,0.2,1000.0
1.0,3240.0,0.8,0.2,80.0,0.6,20.0,0.2,1000.0
1.0,3240.0,0.8,0.8,80.0,0.6,20.0,0.2,1000.0
1.0,3240.0,0.8,0.8,80.0,0.6,20.0,0.8,1000.0
1.0,11610.0,0.8,0.8,80.0,0.6,20.0,0.8,1000.0
1.0,11610.0,0.8,0.8,20.0,0.6,20.0,0.8,1000.0
0.2,450.0,0.2,0.6,40.0,0.4,4.0,0.6,600.0
0.2,450.0,0.8,0.6,40.0,0.4,4.0,0.6,600.0
0.2,450.0,0.8,0.6,100.0,0.4,4.0,0.6,600.0
0.2,450.0,0.8,0.6,100.0,0.4,16.0,0.6,600.0
0.8,450.0,0.8,0.6,100.0,0.4,16.0,0.6,600.0
0.8,450.0,0.8,0.6,100.0,0.4,16.0,0.0,600.0
0.8,8820.0,0.8,0.6,100.0,0.4,16.0,0.0,600.0
0.8,8820.0,0.8,0.6,100.0,0.4,16.0,0.0,0.0
0.8,8820.0,0.8,0.6,100.0,1.0,16.0,0.0,0.0
0.8,8820.0,0.8,0.0,100.0,1.0,16.0,0.0,0.0
0.6,6030.0,0.4,1.0,0.0,0.4,0.0,0.4,400.0
0.6,6030.0,1.0,1.0,0.0,0.4,0.0,0.4,400.0
0.6,6030.0,1.0,1.0,0.0,0.4,0.0,0.4,1000.0
0.6,6030.0,1.0,1.0,0.0,0.4,12.0,0.4,1000.0
0.6,6030.0,1.0,1.0,0.0,1.0,12.0,0.4,1000.0
0.6,14400.0,1.0,1.0,0.0,1.0,12.0,0.4,1000.0
0.6,14400.0,1.0,1.0,60.0,1.0,12.0,0.4,1000.0
0.6,14400.0,1.0,0.4,60.0,1.0,12.0,0.4,1000.0
0.0,14400.0,1.0,0.4,60.0,1.0,12.0,0.4,1000.0
0.0,14400.0,1.0,0.4,60.0,1.0,12.0,1.0,1000.0
0.0,14400.0,0.2,0.0,100.0,0.0,16.0,0.6,0.0
0.0,14400.0,0.2,0.0,100.0,0.0,16.0,0.6,600.0
0.6,14400.0,0.2,0.0,100.0,0.0,16.0,0.6,600.0
0.6,14400.0,0.2,0.0,100.0,0.0,4.0,0.6,600.0
0.6,14400.0,0.2,0.0,100.0,0.6,4.0,0.6,600.0
0.6,14400.0,0.2,0.6,100.0,0.6,4.0,0.6,600.0
0.6,14400.0,0.2,0.6,100.0,0.6,4.0,0.0,600.0
0.6,6030.0,0.2,0.6,100.0,0.6,4.0,0.0,600.0
0.6,6030.0,0.2,0.6,40.0,0.6,4.0,0.0,600.0
0.6,6030.0,0.8,0.6,40.0,0.6,4.0,0.0,600.0
0.8,6030.0,0.8,0.8,0.0,0.4,8.0,0.2,400.0
0.8,6030.0,0.8,0.8,0.0,0.4,8.0,0.8,400.0
0.8,6030.0,0.8,0.8,0.0,0.4,8.0,0.8,1000.0
0.8,6030.0,0.8,0.8,0.0,0.4,20.0,0.8,1000.0
0.8,6030.0,0.8,0.8,60.0,0.4,20.0,0.8,1000.0
0.8,6030.0,0.2,0.8,60.0,0.4,20.0,0.8,1000.0
0.8,6030.0,0.2,0.2,60.0,0.4,20.0,0.8,1000.0
0.2,6030.0,0.2,0.2,60.0,0.4,20.0,0.8,1000.0
0.2,14400.0,0.2,0.2,60.0,0.4,20.0,0.8,1000.0
0.2,14400.0,0.2,0.2,60.0,1.0,20.0,0.8,1000.0
0.4,450.0,0.8,0.4,40.0,0.4,4.0,0.2,0.0
0.4,450.0,0.8,0.4,40.0,0.4,16.0,0.2,0.0
0.4,8820.0,0.8,0.4,40.0,0.4,16.0,0.2,0.0
0.4,8820.0,0.8,0.4,40.0,0.4,16.0,0.8,0.0
0.4,8820.0,0.8,1.0,40.0,0.4,16.0,0.8,0.0
0.4,8820.0,0.8,1.0,40.0,0.4,16.0,0.8,600.0
0.4,8820.0,0.8,1.0,100.0,0.4,16.0,0.8,600.0
0.4,8820.0,0.8,1.0,100.0,1.0,16.0,0.8,600.0
1.0,8820.0,0.8,1.0,100.0,1.0,16.0,0.8,600.0
1.0,8820.0,0.2,1.0,100.0,1.0,16.0,0.8,600.0
